date,cases,deaths,recovered
2020-01-22,1,0,0
2020-01-23,1,0,0
2020-01-24,2,0,0
2020-01-25,3,0,0
2020-01-26,5,0,0
2020-01-27,5,0,0
2020-01-28,5,0,0
2020-01-29,5,0,0
2020-01-30,6,0,0
2020-01-31,7,0,0
2020-02-01,8,0,0
2020-02-02,11,0,0
2020-02-03,11,0,0
2020-02-04,11,0,0
2020-02-05,12,0,0
2020-02-06,12,0,0
2020-02-07,12,0,0
2020-02-08,12,0,0
2020-02-09,12,0,3
2020-02-10,13,0,3
2020-02-11,13,0,3
2020-02-12,14,0,3
2020-02-13,15,0,3
2020-02-14,15,0,3
2020-02-15,15,0,3
2020-02-16,15,0,3
2020-02-17,25,0,3
2020-02-18,25,0,3
2020-02-19,25,0,3
2020-02-20,27,0,3
2020-02-21,30,0,5
2020-02-22,30,0,5
2020-02-23,30,0,5
2020-02-24,43,0,5
2020-02-25,45,0,6
2020-02-26,60,0,6
2020-02-27,60,0,6
2020-02-28,65,0,7
2020-02-29,70,1,7
2020-03-01,88,3,7
2020-03-02,104,6,7
2020-03-03,125,10,7
2020-03-04,161,12,7
2020-03-05,228,12,7
2020-03-06,311,15,7
2020-03-07,428,19,7
2020-03-08,547,22,7
2020-03-09,748,26,7
2020-03-10,1018,31,8
2020-03-11,1263,37,8
2020-03-12,1668,43,12
2020-03-13,2224,50,12
2020-03-14,2898,60,12
2020-03-15,3600,68,12
2020-03-16,4507,91,17
2020-03-17,5906,117,17
2020-03-18,8350,162,105
2020-03-19,12393,212,121
2020-03-20,18012,277,147
2020-03-21,24528,360,176
2020-03-22,33073,458,178
2020-03-23,43505,579,178
2020-03-24,53938,785,348
2020-03-25,68572,1054,361
2020-03-26,85570,1353,681
2020-03-27,102900,1770,869
2020-03-28,123966,2300,1072
2020-03-29,142486,2718,2665
2020-03-30,163955,3368,5644
2020-03-31,188461,4304,7024
2020-04-01,215391,5325,8474
2020-04-02,245108,6541,9001
2020-04-03,277426,7932,9707
2020-04-04,312525,9488,14652
2020-04-05,338141,10856,17448
2020-04-06,369057,12382,19581
